1001, 53552, 1, 0
2001, 97732, 1, 0
3002, 89016, 1, 0
4002, 84224, 1, 0
5002, 82684, 1, 0
6005, 78354, 1, 0
7005, 87648, 1, 0
8005, 89188, 1, 0
9005, 77392, 1, 0
10006, 86192, 1, 0
11006, 82264, 1, 0
12006, 80204, 1, 0
13006, 77880, 1, 0
14007, 73492, 1, 0
15007, 80376, 1, 0
16007, 77188, 1, 0
17007, 75464, 1, 0
18007, 78408, 1, 0
19007, 75492, 1, 0
20008, 78924, 1, 0
21008, 82020, 1, 0
22008, 79576, 1, 0
23008, 84344, 1, 0
24009, 81880, 1, 0
25011, 82676, 1, 0
26011, 75664, 1, 0
27012, 85120, 1, 0
28012, 86968, 1, 0
29012, 82676, 1, 0
30012, 70344, 1, 0
31013, 77536, 1, 0
32013, 80152, 1, 0
33013, 82748, 1, 0
34013, 81448, 1, 0
35013, 80576, 1, 0
36014, 78660, 1, 0
37014, 78812, 1, 0
38014, 81876, 1, 0
39014, 80864, 1, 0
40014, 77956, 1, 0
41015, 72744, 1, 0
42015, 91576, 1, 0
43015, 80660, 1, 0
44018, 78178, 1, 0
45024, 76226, 1, 0
46024, 70968, 1, 0
47025, 80304, 1, 0
48025, 83608, 1, 0
49025, 75628, 1, 0
50025, 79940, 1, 0
51026, 75692, 1, 0
52026, 79076, 1, 0
53026, 72092, 1, 0
54026, 80848, 1, 0
55027, 82164, 1, 0
56027, 73968, 1, 0
57028, 82759, 1, 0
58029, 75612, 1, 0
59029, 76584, 1, 0
60029, 74868, 1, 0
61030, 80200, 1, 0
62030, 90116, 1, 0
63030, 84188, 1, 0
64030, 79768, 1, 0
65031, 81176, 1, 0
66031, 81372, 1, 0
67031, 77432, 1, 0
68032, 77872, 1, 0
69033, 80656, 1, 0
70033, 73016, 1, 0
71033, 73548, 1, 0
72034, 83064, 1, 0
73034, 80348, 1, 0
74034, 85984, 1, 0
75035, 80224, 1, 0
76035, 80596, 1, 0
77037, 78490, 1, 0
78037, 87096, 1, 0
79038, 85456, 1, 0
80038, 80092, 1, 0
81038, 81748, 1, 0
82038, 74056, 1, 0
83038, 79436, 1, 0
84038, 86084, 1, 0
85039, 74736, 1, 0
86039, 79096, 1, 0
87039, 83576, 1, 0
88039, 80696, 1, 0
89039, 85544, 1, 0
90040, 80000, 1, 0
91040, 84776, 1, 0
92040, 78592, 1, 0
93041, 79310, 1, 0
94042, 75548, 1, 0
95042, 72792, 1, 0
96042, 88392, 1, 0
97043, 84280, 1, 0
98044, 70412, 1, 0
99045, 71488, 1, 0
100046, 81752, 1, 0
101046, 78876, 1, 0
102046, 78148, 1, 0
103048, 79448, 1, 0
104048, 84960, 1, 0
105048, 83512, 1, 0
106052, 71518, 1, 0
107053, 73416, 1, 0
108053, 74960, 1, 0
109053, 78416, 1, 0
110053, 81548, 1, 0
111062, 79679, 1, 0
112063, 82812, 1, 0
113065, 88500, 1, 0
114066, 86120, 1, 0
115068, 80332, 1, 0
116069, 73932, 1, 0
117069, 81716, 1, 0
118069, 76320, 1, 0
119069, 73540, 1, 0
120069, 82588, 1, 0
121070, 77868, 1, 0
122071, 81652, 1, 0
123072, 83696, 1, 0
124072, 82080, 1, 0
125072, 78356, 1, 0
126073, 79156, 1, 0
127073, 88520, 1, 0
128074, 83960, 1, 0
129075, 82324, 1, 0
130076, 75724, 1, 0
131077, 81876, 1, 0
132080, 75160, 1, 0
